beneficiary_age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1,0.004296,0.004579,0.004918,0.00531,0.005746,0.006223,0.006747,0.007319,0.007942,0.008628,0.009362,0.01016,0.011007,0.011917,0.012882,0.013902,0.01495,0.01602,0.017133,0.018321,0.019608,0.020998,0.02252,0.024173,0.025962,0.027892,0.029945,0.032131,0.034456,0.036936,0.039573,0.042378,0.045366,0.048555,0.051959,0.055592,0.059475,0.063636,0.068091,0.07288,0.078025,0.083563,0.089531,0.095971,0.102918,0.110286,0.118082,0.126295,0.134919,0.143922,0.153239,0.16323,0.173936,0.185408,0.197685,0.210829,0.224904,0.239978,0.256141,0.273478,0.292111,0.312167,0.333794,0.357161,0.382454,0.409854,0.439578,0.471844,0.506903,0.545021,0.586506,0.631702,0.680967,0.734749,0.793493,0.857727,0.928029,1.005019,1.089379,1.181829,1.283079,1.39377,1.514501,1.645964,1.788713,1.943166,2.109885,2.289189,2.481202,2.685651,2.902229,3.13078,3.371759,3.625901,3.894482,4.180574,4.481039,4.795611,5.123508,5.462256,5.809585,6.162565,6.518846,6.875782,7.229655,7.576995,7.910842,8.221089,8.492104,8.690292,8.785552,8.863299,8.936468,9.032137,9.175644,9.419787,9.918835,11.03516,14.029943,28.229271
2,0.004203,0.004479,0.00481,0.005195,0.005623,0.006092,0.006608,0.007173,0.007789,0.008467,0.009194,0.009985,0.010826,0.011729,0.012688,0.013702,0.014745,0.01581,0.016917,0.0181,0.019382,0.020768,0.022285,0.023934,0.025719,0.027645,0.029694,0.031876,0.034197,0.036673,0.039306,0.042107,0.045091,0.048276,0.051677,0.055306,0.059184,0.063342,0.067793,0.072578,0.077719,0.083253,0.089217,0.095653,0.102595,0.109959,0.117751,0.12596,0.13458,0.143579,0.152891,0.162878,0.17358,0.185047,0.197318,0.210458,0.224528,0.239596,0.255754,0.273085,0.291711,0.311761,0.33338,0.356739,0.382024,0.409416,0.439131,0.471387,0.506435,0.544542,0.586015,0.631197,0.680448,0.734214,0.792941,0.857157,0.927439,1.004407,1.088743,1.181168,1.282389,1.39305,1.513747,1.645174,1.787884,1.942294,2.108968,2.288222,2.480183,2.684576,2.901095,3.129583,3.370497,3.624569,3.893077,4.179091,4.479474,4.79396,5.121768,5.460423,5.807657,6.16054,6.516724,6.873563,7.22734,7.574585,7.90834,8.218503,8.489444,8.687578,8.782812,8.860538,8.933687,9.029329,9.172797,9.416873,9.915785,11.031806,14.025773,28.221211
3,0.004112,0.00438,0.004703,0.005079,0.005499,0.00596,0.006468,0.007025,0.007632,0.008303,0.009021,0.009805,0.010638,0.011534,0.012487,0.013494,0.014531,0.015589,0.016691,0.017868,0.019145,0.020526,0.022038,0.023682,0.025462,0.027383,0.029427,0.031605,0.033921,0.036392,0.039021,0.041818,0.044797,0.047978,0.051375,0.054999,0.058873,0.063026,0.067473,0.072254,0.07739,0.082919,0.088878,0.095309,0.102247,0.109606,0.117392,0.125596,0.134211,0.143205,0.152512,0.162494,0.17319,0.184651,0.196917,0.21005,0.224113,0.239175,0.255326,0.272649,0.291268,0.311309,0.33292,0.356269,0.381544,0.408925,0.438629,0.470872,0.505907,0.544,0.585457,0.630622,0.679855,0.733602,0.792307,0.856499,0.926756,1.003696,1.088002,1.180393,1.281578,1.3922,1.512854,1.644235,1.786894,1.94125,2.107865,2.287057,2.47895,2.683272,2.899715,3.128123,3.368953,3.622936,3.89135,4.177265,4.477542,4.791919,5.119612,5.45815,5.805262,6.158023,6.514082,6.870797,7.22445,7.571574,7.905213,8.215267,8.486114,8.684178,8.779379,8.857078,8.930201,9.02581,9.169228,9.41322,9.911957,11.027588,14.020511,28.210997
4,0.004022,0.004282,0.004597,0.004965,0.005376,0.005828,0.006327,0.006874,0.007473,0.008135,0.008845,0.00962,0.010445,0.011333,0.012278,0.013278,0.014307,0.015359,0.016454,0.017626,0.018896,0.020271,0.021778,0.023416,0.025191,0.027106,0.029145,0.031318,0.033629,0.036096,0.03872,0.041512,0.044486,0.047662,0.051054,0.054674,0.058543,0.062691,0.067132,0.071908,0.077039,0.082563,0.088517,0.094942,0.101875,0.109228,0.117009,0.125207,0.133816,0.142804,0.152106,0.162081,0.172771,0.184226,0.196485,0.209612,0.223667,0.238722,0.254864,0.272179,0.290789,0.310821,0.332422,0.355761,0.381024,0.408393,0.438084,0.470313,0.505333,0.543409,0.584849,0.629995,0.679207,0.732932,0.791613,0.855778,0.926007,1.002916,1.087187,1.179541,1.280685,1.391262,1.511868,1.643197,1.785799,1.940094,2.106642,2.285763,2.47758,2.681821,2.898178,3.126497,3.367231,3.621114,3.889422,4.175224,4.475383,4.789636,5.1172,5.455603,5.802579,6.1552,6.51112,6.867694,7.221207,7.568194,7.901702,8.211634,8.482374,8.68036,8.775523,8.853191,8.926286,9.021857,9.165219,9.409114,9.907655,11.022846,14.014589,28.199482
5,0.003934,0.004186,0.004492,0.004851,0.005253,0.005696,0.006185,0.006723,0.007312,0.007964,0.008665,0.009431,0.010247,0.011126,0.012063,0.013054,0.014076,0.01512,0.016208,0.017372,0.018636,0.020005,0.021505,0.023137,0.024906,0.026816,0.028849,0.031016,0.033322,0.035783,0.038402,0.041188,0.044158,0.047328,0.050715,0.054329,0.058192,0.062335,0.066771,0.071542,0.076667,0.082186,0.088134,0.094553,0.101479,0.108827,0.116601,0.124793,0.133396,0.142378,0.151673,0.161642,0.172325,0.183773,0.196024,0.209144,0.223192,0.238238,0.254371,0.271678,0.290278,0.3103,0.33189,0.355217,0.380469,0.407825,0.437501,0.469715,0.504719,0.542778,0.584199,0.629324,0.678515,0.732215,0.79087,0.855007,0.925205,1.00208,1.086314,1.178628,1.279728,1.390257,1.510811,1.642083,1.784624,1.938852,2.10533,2.284374,2.476109,2.680263,2.896528,3.124749,3.365381,3.619156,3.88735,4.17303,4.473062,4.787181,5.114606,5.452866,5.799695,6.152166,6.507935,6.864357,7.217721,7.56456,7.897926,8.207727,8.478352,8.676254,8.771377,8.849012,8.922076,9.017606,9.160907,9.404699,9.903028,11.017746,14.008218,28.187092
6,0.003847,0.004091,0.004389,0.004739,0.005131,0.005564,0.006043,0.006571,0.00715,0.007792,0.008483,0.009239,0.010044,0.010914,0.011841,0.012824,0.013837,0.014872,0.015952,0.017109,0.018365,0.019726,0.021219,0.022845,0.024607,0.02651,0.028537,0.030698,0.032998,0.035453,0.038066,0.040847,0.04381,0.046975,0.050355,0.053964,0.057821,0.061958,0.066389,0.071153,0.076272,0.081784,0.087726,0.094139,0.101058,0.108399,0.116167,0.124352,0.132948,0.141923,0.151211,0.161173,0.171848,0.183289,0.195532,0.208643,0.222682,0.237719,0.253844,0.27114,0.28973,0.309741,0.331319,0.354634,0.379873,0.407214,0.436875,0.469073,0.504059,0.542099,0.583499,0.628603,0.677769,0.731444,0.79007,0.854177,0.92434,1.001179,1.085373,1.177643,1.278696,1.389173,1.509671,1.640881,1.783356,1.937512,2.103912,2.282873,2.47452,2.678579,2.894745,3.12286,3.363381,3.61704,3.88511,4.170659,4.470553,4.784528,5.111802,5.449907,5.796576,6.148886,6.50449,6.860749,7.21395,7.560631,7.893844,8.203502,8.474002,8.671814,8.766893,8.844492,8.917523,9.013009,9.156244,9.399924,9.898025,11.012231,14.001329,28.173688
7,0.003763,0.003999,0.004288,0.004628,0.005011,0.005434,0.005903,0.00642,0.006988,0.007619,0.008299,0.009044,0.009839,0.010698,0.011615,0.012587,0.01359,0.014617,0.015687,0.016835,0.018083,0.019436,0.020921,0.022539,0.024294,0.02619,0.02821,0.030364,0.032657,0.035106,0.037712,0.040487,0.043444,0.046602,0.049976,0.053579,0.05743,0.06156,0.065984,0.070742,0.075855,0.08136,0.087295,0.093701,0.100613,0.107947,0.115708,0.123885,0.132474,0.141441,0.150722,0.160676,0.171343,0.182775,0.19501,0.208113,0.222143,0.23717,0.253285,0.270571,0.28915,0.309149,0.330715,0.354017,0.379241,0.406568,0.436213,0.468394,0.503361,0.541381,0.58276,0.627841,0.676982,0.730628,0.789225,0.853299,0.923428,1.000228,1.08438,1.176604,1.277607,1.388029,1.508467,1.639613,1.782018,1.936099,2.102417,2.281291,2.472844,2.676804,2.892864,3.120869,3.361273,3.614809,3.88275,4.16816,4.467909,4.781732,5.108848,5.446789,5.793291,6.14543,6.500863,6.85695,7.20998,7.556493,7.889545,8.199054,8.469424,8.66714,8.762173,8.839735,8.91273,9.00817,9.151336,9.394898,9.892758,11.006426,13.994082,28.159595
8,0.003681,0.003909,0.004189,0.00452,0.004893,0.005305,0.005763,0.006269,0.006826,0.007445,0.008113,0.008846,0.00963,0.010478,0.011383,0.012344,0.013337,0.014353,0.015413,0.016551,0.01779,0.019134,0.02061,0.02222,0.023966,0.025854,0.027867,0.030013,0.032299,0.034741,0.03734,0.040107,0.043057,0.046209,0.049576,0.053171,0.057016,0.061139,0.065556,0.070307,0.075412,0.080911,0.086838,0.093237,0.100141,0.107467,0.11522,0.123389,0.13197,0.140929,0.150201,0.160147,0.170806,0.182229,0.194455,0.207547,0.221568,0.236585,0.252689,0.269963,0.28853,0.308517,0.33007,0.353358,0.378567,0.405878,0.435506,0.467668,0.502616,0.540614,0.58197,0.627025,0.676139,0.729757,0.788321,0.852361,0.922452,0.99921,1.083317,1.175492,1.276441,1.386805,1.507179,1.638256,1.780586,1.934585,2.100817,2.279597,2.47105,2.674903,2.890851,3.118737,3.359016,3.612419,3.880221,4.165483,4.465076,4.778736,5.105683,5.443449,5.789771,6.141728,6.496977,6.852879,7.205727,7.552061,7.88494,8.194289,8.464519,8.662132,8.757116,8.834638,8.907595,9.002986,9.146078,9.389514,9.887116,11.000207,13.986319,28.144504
9,0.003602,0.003821,0.004092,0.004414,0.004776,0.005178,0.005625,0.00612,0.006664,0.007272,0.007927,0.008648,0.009419,0.010254,0.011147,0.012096,0.013077,0.014081,0.015131,0.016258,0.017486,0.01882,0.020287,0.021886,0.023624,0.025503,0.027507,0.029645,0.031923,0.034356,0.036947,0.039707,0.042649,0.045793,0.049153,0.052741,0.056578,0.060694,0.065103,0.069846,0.074944,0.080434,0.086353,0.092743,0.09964,0.106957,0.114701,0.122862,0.131433,0.140383,0.149646,0.159583,0.170232,0.181646,0.193861,0.206944,0.220953,0.235959,0.252051,0.269313,0.287868,0.307841,0.329379,0.352652,0.377844,0.405138,0.434747,0.466889,0.501815,0.53979,0.581121,0.626149,0.675234,0.728819,0.787349,0.851351,0.9214,0.998114,1.082172,1.174293,1.275184,1.385484,1.505788,1.636789,1.779037,1.932949,2.099085,2.277763,2.469106,2.672843,2.888668,3.116424,3.356567,3.609826,3.877476,4.162576,4.462,4.775482,5.102244,5.439819,5.785945,6.137703,6.492751,6.848453,7.201101,7.54724,7.879931,8.189104,8.459182,8.656684,8.751614,8.829092,8.902008,8.997345,9.140356,9.383654,9.880976,10.993439,13.977863,28.128063
10,0.003524,0.003736,0.003998,0.00431,0.004663,0.005054,0.00549,0.005972,0.006504,0.007099,0.007741,0.008449,0.009206,0.010028,0.010908,0.011844,0.012811,0.013803,0.01484,0.015955,0.017172,0.018495,0.01995,0.02154,0.023267,0.025136,0.02713,0.029259,0.031528,0.033952,0.036535,0.039286,0.04222,0.045355,0.048707,0.052287,0.056115,0.060223,0.064624,0.069358,0.074447,0.079929,0.08584,0.092221,0.099108,0.106416,0.11415,0.122301,0.130863,0.139803,0.149057,0.158983,0.169622,0.181025,0.19323,0.2063,0.220298,0.235292,0.251371,0.26862,0.28716,0.307118,0.328641,0.351897,0.377072,0.404346,0.433935,0.466056,0.500959,0.538909,0.580212,0.625211,0.674264,0.727815,0.786308,0.850269,0.920274,0.996939,1.080944,1.173008,1.273835,1.384066,1.504296,1.635216,1.777375,1.931191,2.097225,2.275792,2.467018,2.670629,2.886321,3.113938,3.353933,3.607037,3.874523,4.159449,4.458689,4.77198,5.098542,5.435911,5.781826,6.13337,6.488201,6.843686,7.196119,7.542046,7.874535,8.18352,8.453433,8.650815,8.745687,8.823118,8.895989,8.991268,9.134191,9.377341,9.87436,10.986146,13.968754,28.110337
