beneficiary_age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
1,0.8153,0.8688,0.9327,1.0066,1.0886,1.1784,1.2768,1.3843,1.5011,1.6296,1.7667,1.9157,2.0735,2.2428,2.4221,2.6109,2.8049,3.0023,3.2071,3.4253,3.6612,3.9153,4.1926,4.4929,4.8168,5.1649,5.5338,5.925,6.3392,6.7789,7.2443,7.7366,8.258,8.8113,9.3983,10.0205,10.6806,11.3828,12.1285,12.9232,13.769,14.6705,15.6316,16.6569,17.7496,18.8935,20.0874,21.3272,22.6098,23.9281,25.2705,26.6862,28.1763,29.7432,31.3866,33.1092,34.9127,36.7988,38.7708,40.8303,42.9821,45.2299,47.5778,50.0305,52.5919,55.2629,58.0454,60.9385,63.9415,67.0519,70.267,73.5836,76.9956,80.499,84.0856,87.7476,91.4759,95.2588,99.0837,102.9357,106.7963,110.6433,114.4529,118.2058,121.8801,125.4542,128.9138,132.243,135.4279,138.4543,141.3144,144.0073,146.5417,148.9285,151.1815,153.3245,155.3342,157.2151,158.9699,160.5958,162.0949,163.4695,164.726,165.8709,166.9079,167.8426,168.6723,169.3894,169.9776,170.3868,170.5776,170.7306,170.8724,171.0547,171.3217,171.759,172.592,174.2055,177.3503,183.4903
2,0.7978,0.8498,0.9123,0.9847,1.0653,1.1536,1.2506,1.3567,1.4721,1.5992,1.735,1.8827,2.0394,2.2075,2.3856,2.5734,2.7663,2.9628,3.1668,3.3841,3.6191,3.8724,4.1489,4.4485,4.7717,5.1191,5.4874,5.8779,6.2915,6.7306,7.1954,7.6871,8.208,8.7607,9.3472,9.9689,10.6285,11.3302,12.0754,12.8697,13.715,14.6161,15.5768,16.6017,17.694,18.8376,20.0312,21.2707,22.553,23.871,25.2132,26.6286,28.1186,29.6852,31.3284,33.0509,34.8543,36.7402,38.7121,40.7716,42.9232,45.1709,47.5188,49.9715,52.5329,55.2039,57.9863,60.8794,63.8825,66.9929,70.2081,73.5248,76.9369,80.4405,84.0271,87.6893,91.4177,95.2008,99.0259,102.8781,106.7389,110.5861,114.3959,118.1491,121.8236,125.398,128.8577,132.1872,135.3723,138.3989,141.2592,143.9523,146.4869,148.8738,151.127,153.2701,155.28,157.1609,158.9159,160.5419,162.0411,163.4158,164.6724,165.8174,166.8545,167.7892,168.6189,169.3362,169.9243,170.3336,170.5244,170.6774,170.8192,171.0015,171.2685,171.7058,172.539,174.1526,177.2976,183.4379
3,0.7804,0.831,0.892,0.9629,1.0419,1.1286,1.2241,1.3285,1.4424,1.568,1.7024,1.8487,2.004,2.1708,2.3477,2.5343,2.7261,2.9215,3.1244,3.3407,3.5748,3.8272,4.1028,4.4015,4.7239,5.0706,5.4381,5.8279,6.2408,6.6792,7.1433,7.6344,8.1546,8.7067,9.2926,9.9136,10.5726,11.2737,12.0184,12.8121,13.6569,14.5574,15.5176,16.5421,17.6339,18.7771,19.9702,21.2093,22.4912,23.8088,25.1507,26.5658,28.0554,29.6217,31.2647,32.9869,34.79,36.6757,38.6474,40.7066,42.858,45.1055,47.4532,49.9057,52.4669,55.1377,57.92,60.813,63.8159,66.9262,70.1413,73.4578,76.8698,80.3733,83.9599,87.622,91.3504,95.1334,98.9584,102.8106,106.6714,110.5186,114.3285,118.0816,121.7562,125.3306,128.7904,132.1198,135.305,138.3317,141.192,143.8851,146.4198,148.8067,151.0599,153.2031,155.213,157.094,158.849,160.4751,161.9743,163.349,164.6057,165.7506,166.7877,167.7225,168.5522,169.2695,169.8577,170.267,170.4578,170.6108,170.7526,170.9349,171.2019,171.6392,172.4724,174.086,177.2311,183.3715
4,0.7633,0.8124,0.8719,0.9411,1.0185,1.1036,1.1973,1.3001,1.4124,1.5363,1.6691,1.8139,1.9676,2.1329,2.3084,2.4937,2.6842,2.8784,3.0801,3.2953,3.5283,3.7797,4.0544,4.3522,4.6736,5.0194,5.3861,5.7751,6.1871,6.6248,7.0881,7.5785,8.098,8.6494,9.2345,9.8549,10.5132,11.2137,11.9578,12.7508,13.595,14.4949,15.4546,16.4785,17.5697,18.7123,19.905,21.1436,22.425,23.7422,25.0836,26.4983,27.9876,29.5535,31.1961,32.918,34.7208,36.6061,38.5775,40.6364,42.7876,45.0348,47.3822,49.8344,52.3954,55.0659,57.848,60.7407,63.7435,66.8536,70.0684,73.3848,76.7966,80.2999,83.8863,87.5483,91.2765,95.0594,98.8843,102.7364,106.5971,110.4442,114.254,118.007,121.6816,125.2559,128.7156,132.0451,135.2302,138.2569,141.1172,143.8103,146.3449,148.7319,150.9851,153.1282,155.1382,157.0192,158.7742,160.4002,161.8995,163.2741,164.5308,165.6758,166.7129,167.6476,168.4774,169.1946,169.7828,170.1921,170.3829,170.5359,170.6777,170.86,171.127,171.5643,172.3975,174.0112,177.1562,183.2966
5,0.7466,0.7942,0.852,0.9196,0.9952,1.0785,1.1705,1.2715,1.382,1.5041,1.6352,1.7782,1.9303,2.094,2.268,2.4518,2.6408,2.8336,3.034,3.248,3.4798,3.73,4.0036,4.3003,4.6208,4.9656,5.3313,5.7194,6.1306,6.5674,7.0299,7.5194,8.0381,8.5887,9.1732,9.7928,10.4504,11.1501,11.8935,12.6858,13.5294,14.4286,15.3876,16.4109,17.5015,18.6436,19.8356,21.0737,22.3546,23.6713,25.0122,26.4265,27.9153,29.4808,31.123,32.8445,34.6469,36.5319,38.5029,40.5615,42.7123,44.9593,47.3064,49.7583,52.319,54.9893,57.7711,60.6636,63.666,66.7759,69.9906,73.3067,76.7183,80.2214,83.8076,87.4694,91.1974,94.9802,98.8049,102.6568,106.5174,110.3644,114.1741,117.9271,121.6015,125.1758,128.6354,131.9648,135.15,138.1766,141.0368,143.7299,146.2645,148.6515,150.9047,153.0478,155.0577,156.9387,158.6937,160.3197,161.819,163.1937,164.4503,165.5953,166.6324,167.5671,168.3969,169.1141,169.7023,170.1116,170.3024,170.4554,170.5972,170.7795,171.0465,171.4838,172.317,173.9306,177.0757,183.2161
6,0.7302,0.7762,0.8324,0.8983,0.9722,1.0536,1.1437,1.2428,1.3514,1.4716,1.6008,1.7419,1.8922,2.0541,2.2263,2.4085,2.5959,2.7872,2.9861,3.1987,3.4291,3.6781,3.9504,4.246,4.5653,4.909,5.2737,5.6607,6.0709,6.5068,6.9683,7.457,7.9748,8.5246,9.1082,9.7269,10.3837,11.0827,11.8253,12.6169,13.4596,14.3582,15.3164,16.339,17.4289,18.5703,19.7617,20.9992,22.2795,23.5956,24.936,26.3497,27.838,29.4031,31.0448,32.7659,34.5678,36.4525,38.4231,40.4812,42.6317,44.8783,47.2251,49.6767,52.237,54.907,57.6885,60.5806,63.5828,66.6924,69.9068,73.2227,76.634,80.1369,83.7229,87.3844,91.1123,94.8948,98.7194,102.5711,106.4315,110.2783,114.0879,117.8407,121.5151,125.0892,128.5488,131.8782,135.0632,138.0898,140.95,143.643,146.1776,148.5645,150.8177,152.9608,154.9707,156.8517,158.6067,160.2327,161.732,163.1066,164.3633,165.5082,166.5453,167.4801,168.3098,169.0271,169.6152,170.0245,170.2154,170.3684,170.5102,170.6924,170.9594,171.3968,172.2299,173.8436,176.9886,183.129
7,0.7143,0.7587,0.8132,0.8774,0.9494,1.029,1.1171,1.2142,1.3207,1.4389,1.566,1.7052,1.8534,2.0134,2.1837,2.364,2.5497,2.7392,2.9365,3.1475,3.3765,3.624,3.8949,4.1892,4.5072,4.8498,5.2132,5.5992,6.0083,6.4431,6.9036,7.3913,7.9081,8.4569,9.0396,9.6575,10.3134,11.0115,11.7532,12.544,13.386,14.2837,15.2412,16.263,17.3522,18.4929,19.6836,20.9204,22.2,23.5155,24.8553,26.2685,27.7562,29.3208,30.962,32.6826,34.4841,36.3683,38.3385,40.3962,42.5463,44.7925,47.1389,49.5902,52.1502,54.8198,57.601,60.4929,63.4948,66.6041,69.8182,73.1338,76.5449,80.0476,83.6333,87.2947,91.0223,94.8046,98.629,102.4806,106.3409,110.1875,113.9969,117.7497,121.4239,124.998,128.4575,131.7868,134.9718,137.9983,140.8584,143.5515,146.086,148.4729,150.7261,152.8692,154.8791,156.7601,158.515,160.141,161.6403,163.015,164.2716,165.4166,166.4537,167.3884,168.2182,168.9354,169.5236,169.9329,170.1237,170.2767,170.4185,170.6008,170.8678,171.3051,172.1383,173.7519,176.897,183.0374
8,0.6987,0.7416,0.7945,0.8568,0.927,1.0046,1.0907,1.1857,1.2901,1.4061,1.5311,1.668,1.8141,1.972,2.1402,2.3184,2.5021,2.6898,2.8853,3.0945,3.3218,3.5677,3.8371,4.1298,4.4465,4.7876,5.1498,5.5345,5.9424,6.376,6.8354,7.322,7.8378,8.3856,8.9672,9.5841,10.2391,10.9362,11.677,12.4669,13.3079,14.2048,15.1614,16.1824,17.2708,18.4106,19.6006,20.8366,22.1156,23.4304,24.7695,26.182,27.6691,29.2331,30.8738,32.5938,34.3948,36.2785,38.2482,40.3055,42.4552,44.701,47.047,49.4979,52.0575,54.7268,57.5076,60.3992,63.4007,66.5097,69.7235,73.0389,76.4497,79.9521,83.5376,87.1987,90.9261,94.7082,98.5324,102.3837,106.2439,110.0903,113.8996,117.6522,121.3263,124.9003,128.3597,131.6889,134.8738,137.9003,140.7604,143.4534,145.9879,148.3748,150.6279,152.771,154.7809,156.6619,158.4168,160.0428,161.5421,162.9168,164.1734,165.3184,166.3555,167.2902,168.12,168.8372,169.4254,169.8347,170.0255,170.1785,170.3203,170.5026,170.7696,171.207,172.0401,173.6538,176.7989,182.9393
9,0.6836,0.725,0.7761,0.8367,0.905,0.9806,1.0646,1.1574,1.2596,1.3733,1.4959,1.6306,1.7743,1.9299,2.0958,2.2718,2.4534,2.6389,2.8324,3.0397,3.265,3.5091,3.7768,4.0679,4.383,4.7226,5.0833,5.4666,5.8731,6.3054,6.7636,7.2489,7.7635,8.3102,8.8907,9.5065,10.1604,10.8565,11.5963,12.3851,13.2252,14.1211,15.0768,16.0968,17.1843,18.3233,19.5123,20.7475,22.0256,23.3397,24.678,26.0898,27.5763,29.1396,30.7796,32.499,34.2994,36.1825,38.1517,40.2085,42.3577,44.603,46.9485,49.3989,51.9581,54.627,57.4074,60.2985,63.2997,66.4083,69.6218,72.9368,76.3473,79.8493,83.4345,87.0953,90.8224,94.6043,98.4282,102.2793,106.1392,109.9854,113.7945,117.5469,121.2208,124.7946,128.2539,131.5829,134.7677,137.7941,140.6541,143.347,145.8814,148.2683,150.5213,152.6644,154.6742,156.5552,158.3101,159.9361,161.4353,162.81,164.0667,165.2116,166.2487,167.1834,168.0132,168.7304,169.3186,169.7279,169.9187,170.0717,170.2135,170.3958,170.6628,171.1001,171.9333,173.5469,176.692,182.8324
10,0.6689,0.7088,0.7583,0.8171,0.8834,0.957,1.0389,1.1295,1.2293,1.3407,1.4609,1.593,1.7343,1.8873,2.0508,2.2244,2.4036,2.5868,2.778,2.9831,3.2064,3.4484,3.7142,4.0034,4.3167,4.6546,5.0137,5.3954,5.8005,6.2313,6.6881,7.1721,7.6854,8.2307,8.81,9.4246,10.0773,10.7723,11.5109,12.2987,13.1377,14.0325,14.9871,16.0061,17.0926,18.2305,19.4186,20.6529,21.9301,23.2433,24.5808,25.9918,27.4774,29.04,30.6792,32.398,34.1977,36.0802,38.0488,40.105,42.2536,44.4983,46.8433,49.2932,51.8519,54.5203,57.3003,60.191,63.1917,66.2999,69.513,72.8275,76.2376,79.7393,83.3241,86.9846,90.7114,94.4929,98.3165,102.1673,106.0269,109.8729,113.6817,117.4339,121.1076,124.6811,128.1402,131.4691,134.6537,137.6799,140.5398,143.2326,145.767,148.1537,150.4067,152.5497,154.5595,156.4404,158.1953,159.8212,161.3204,162.6951,163.9517,165.0966,166.1337,167.0684,167.8981,168.6154,169.2035,169.6128,169.8036,169.9566,170.0984,170.2807,170.5477,170.985,171.8182,173.4318,176.5769,182.7172
